Year,State,Population,Number of agencies,Total law enforcement employees,Total male officers,Total female officers,Total male civilians,Total female civilians
2008,OHIO,9715611,607,31469,19541,2309,4014,5605
2008,OKLAHOMA,3642361,304,11553,7002,693,1578,2280
2008,OREGON,3752587,202,9965,5276,614,1702,2373
2008,PENNSYLVANIA,9356098,937,29641,22290,2698,1792,2861
2008,RHODE ISLAND,1050788,48,3240,2403,180,299,358
2008,SOUTH CAROLINA,4479234,381,15316,10061,1288,1395,2572
2008,SOUTH DAKOTA,800171,142,2273,1347,85,344,497
2008,TENNESSEE,6209570,449,25067,14016,1513,4366,5172
2008,TEXAS,24229899,1004,87479,46909,5766,14755,20049
2008,UTAH,2735255,131,7719,4362,344,1516,1497
2008,VERMONT,271869,43,1299,874,81,116,228
2008,VIRGINIA,7767656,279,23748,16265,2193,1446,3844
2008,WASHINGTON,6538812,245,14980,9605,1000,1471,2904
2008,WEST VIRGINIA1,,,,,,,
2008,WISCONSIN,5607356,376,18648,11230,1808,2061,3549
2008,WYOMING,528864,65,2029,1285,107,153,484
2008,1 No 2008 police employee data were received for the state of  West Virginia.,,,,,,,
2009,ALABAMA,4587633,349,16917,10438,807,2151,3521
2009,ALASKA,696273,39,1977,1156,106,246,469
2009,ARIZONA,6482281,106,22910,11596,1375,4534,5405
2009,ARKANSAS,2888639,281,9970,5682,518,1478,2292
2009,CALIFORNIA,31832381,461,121879,69749,10572,14550,27008
2009,COLORADO,5018161,233,17435,10286,1499,1868,3782
2009,CONNECTICUT,3518288,104,10556,7830,792,768,1166
2009,DELAWARE,884765,54,3127,1986,310,310,521
2009,DISTRICT OF COLUMBIA,599657,2,5189,3492,981,292,424
2009,FLORIDA,17648382,365,72235,37894,6224,10001,18116
2009,GEORGIA,9154201,444,34809,21107,3921,3413,6368
2009,HAWAII,1295178,4,3802,2684,306,251,561
2009,IDAHO,1543324,108,4215,2511,179,320,1205
2009,ILLINOIS,12675815,736,50833,30663,5574,6940,7656
2009,INDIANA,5995956,242,16856,10326,907,2638,2985
2009,IOWA,2988922,234,8057,4842,439,1067,1709
2009,KANSAS,2498126,342,10227,6151,610,1388,2078
2009,KENTUCKY,4239650,395,10483,7700,548,925,1310
2009,LOUISIANA,2771692,156,15453,9215,1925,1605,2708
2009,MAINE,1317341,134,2859,2117,134,245,363
2009,MARYLAND,5519662,131,20609,13584,2080,1863,3082
2009,MASSACHUSETTS,6396251,324,16783,12802,1153,1138,1690
2009,MICHIGAN,9845506,630,25419,16302,2498,2935,3684
2009,MINNESOTA,5180883,320,13709,7806,1076,1984,2843
2009,MISSISSIPPI,2675080,192,8764,4924,493,1419,1928
2009,MISSOURI,5874396,555,20486,13218,1420,2160,3688
2009,MONTANA,972240,110,2965,1678,102,539,646
2009,NEBRASKA,1750280,162,4815,3124,394,334,963
2009,NEVADA,2643085,45,10115,5410,574,1440,2691
2009,NEW HAMPSHIRE,1166104,149,3353,2349,192,246,566
2009,NEW JERSEY,8415289,543,41609,29437,2653,3510,6009
2009,NEW MEXICO,1958665,107,6615,4048,427,844,1296
2009,NEW YORK,19120958,436,83941,53588,8572,7711,14070
2009,NORTH CAROLINA,9260266,499,32357,19851,2455,4583,5468
2009,NORTH DAKOTA,646844,103,1735,1128,132,176,299
2009,OHIO,10223161,610,29797,19818,2292,2720,4967
2009,OKLAHOMA,3681857,318,11984,7250,698,1718,2318
2009,OREGON,3790072,207,10230,5447,588,1821,2374
2009,PENNSYLVANIA,9523147,952,29505,22382,2628,1670,2825
2009,RHODE ISLAND,1053209,48,3191,2370,184,290,347
2009,SOUTH CAROLINA,3779301,268,12881,8449,1112,1130,2190
2009,SOUTH DAKOTA,809838,143,2336,1396,88,351,501
2009,TENNESSEE,6293243,454,25407,14385,1505,4302,5215
2009,TEXAS,24590665,1010,89867,48579,6278,15472,19538
2009,UTAH,2783798,133,7830,4430,355,1460,1585
2009,VERMONT,303744,52,1419,976,96,108,239
2009,VIRGINIA,7880881,279,23395,16168,2155,1313,3759
2009,WASHINGTON,6642851,243,14862,9612,981,1447,2822
2009,WEST VIRGINIA,1810824,347,4460,3362,114,374,610
2009,WISCONSIN,5648330,389,19156,11326,1794,2399,3637
2009,WYOMING,540376,66,2072,1331,115,145,481
2010,ALABAMA,4637287,346,16205,10134,796,2016,3259
2010,ALASKA,709604,40,1944,1116,103,256,469
2010,ARIZONA,6304972,106,22130,11261,1345,4336,5188
2010,ARKANSAS,2913580,280,9964,5671,504,1471,2318
2010,CALIFORNIA,32115492,460,118884,68635,10361,14336,25552
2010,COLORADO,5026084,234,17071,10074,1462,1892,3643
2010,CONNECTICUT,3574097,103,10476,7812,807,788,1069
2010,DELAWARE,897563,54,3170,2006,317,311,536
2010,DISTRICT OF COLUMBIA,601723,1,4477,3046,899,210,322
2010,FLORIDA,17887439,361,72390,37849,6389,10229,17923
2010,GEORGIA,8639939,426,32780,20552,4029,2668,5531
2010,HAWAII,1360301,4,3725,2654,293,235,543
2010,IDAHO,1565006,110,4341,2603,190,314,1234
2010,ILLINOIS,12749781,778,49849,29991,5452,6968,7438
2010,INDIANA,5852251,237,15577,9808,761,2315,2693
2010,IOWA,3038644,238,8085,4875,428,1079,1703
2010,KANSAS,2600455,337,10565,6388,609,1390,2178
2010,KENTUCKY,4098561,344,10104,7526,525,773,1280
2010,LOUISIANA,3407020,147,18493,11270,2554,1712,2957
2010,MAINE,1327392,134,2839,2109,141,242,347
2010,MARYLAND,5593253,132,20467,13410,2085,1891,3081
2010,MASSACHUSETTS,6493971,347,19574,14786,1366,1356,2066
2010,MICHIGAN,9709589,629,24426,15772,2457,2737,3460
2010,MINNESOTA,5220467,322,13509,7761,1064,1936,2748
2010,MISSISSIPPI,2795693,190,10325,5636,518,1715,2456
2010,MISSOURI,5882476,564,20375,13156,1444,2185,3590
2010,MONTANA,988583,115,2941,1754,105,477,605
2010,NEBRASKA,1778848,158,4835,3134,393,346,962
2010,NEVADA,2700551,44,9873,5301,580,1430,2562
2010,NEW HAMPSHIRE,1192506,153,3441,2401,205,255,580
2010,NEW JERSEY,8491420,545,39996,28461,2604,3297,5634
2010,NEW MEXICO,2008152,109,6030,3957,436,549,1088
2010,NEW YORK,19194379,466,83394,53432,8481,7664,13817
